dataset,image,region_class,site_r,site_c,site_size,n_query,S1_mean,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_mean_q2.0,S2_se_q2.0,S3_p90_q2.0,S3_p90_se_q2.0,S3_p95_q2.0,S3_p95_se_q2.0,S3_p99_q2.0,S3_p99_se_q2.0,S2_mean_q1.5,S2_se_q1.5,S3_p90_q1.5,S3_p90_se_q1.5,S3_p95_q1.5,S3_p95_se_q1.5,S3_p99_q1.5,S3_p99_se_q1.5
nuclei,nuclei_figure_1,B_separated_interface,408,667,35,81,4.106373038214404,6.889158736047258,3.896244593857015,0.9119460258706451,4.177449720221393,0.004372032604414225,0.30384506172839504,0.0011886830894284387,0.16241481481481482,0.0008782216218079733,0.02572469135802469,0.00028962846988985505,4.222230689196426,0.005519007286257878,0.3099635802469136,0.0014862024599510174,0.1721320987654321,0.0011647304380466299,0.030825308641975312,0.00044929115002809763
nuclei,nuclei_figure_1,B_separated_interface,266,177,34,81,4.3542254176466395,7.59110250351229,3.8595500187449066,0.8960740964778665,4.4149547119106405,0.004415915805027674,0.3231283950617283,0.0011359340603541114,0.18075493827160494,0.0010890399090531884,0.004782716049382716,0.00019850987688542043,4.453222097818252,0.005594143721257427,0.3303012345679013,0.0015605237087569536,0.18768209876543213,0.0013693981469442389,0.012344444444444444,0.0004189137205136349
nuclei,nuclei_figure_1,B_separated_interface,1079,428,33,81,2.7507288921343225,5.835643450635665,2.634106314575711,0.9065472145629764,2.846041826331881,0.004285260589722316,0.011866666666666666,0.00034028041603802623,0.00046296296296296303,4.7352861678391586e-05,0.0,0.0,2.9066762702088944,0.005385969751707588,0.02410493827160494,0.0007274353288617592,0.003518518518518518,0.0002514845832404035,2.5308641975308642e-05,1.39963477855257e-05
nuclei,nuclei_figure_1,B_separated_interface,318,825,33,81,3.191129719610696,5.16954505732599,3.09819261009123,0.8934019137392984,3.283132853047736,0.004440220925559048,0.10629876543209878,0.0011761748341364933,0.012787037037037036,0.0004160814553096612,3.08641975308642e-06,1.942014659761526e-06,3.340079564502944,0.00557329641282119,0.12098641975308644,0.001423621110291858,0.026713580246913577,0.0007212629493783006,0.0004728395061728395,8.76733196519641e-05
nuclei,nuclei_figure_1,B_separated_interface,318,92,32,81,2.5841973023582465,5.853410082134597,2.3133551982913576,0.677625919053443,2.708008363321381,0.004279388833683766,0.08970987654320989,0.0007847504699982544,0.013317901234567902,0.0003408484118719529,2.469135802469136e-06,2.107464721791423e-06,2.7836995080515443,0.005344076251643192,0.09718456790123456,0.0009629461329274026,0.023101234567901235,0.0005221851304704438,0.0003771604938271605,6.188741559994455e-05
nuclei,nuclei_figure_1,B_separated_interface,1071,404,32,81,3.630904836447816,6.211609480930194,3.2557998412867457,0.5994957679542515,3.720871014266513,0.004372452183030251,0.2547598765432099,0.0005393912915824604,0.187341975308642,0.0005704257489460414,0.04577407407407407,0.0004258730468194555,3.7755029602145087,0.005504739228341031,0.2565432098765432,0.000836802914025666,0.18833703703703705,0.0007690180076382597,0.05094259259259259,0.0005343323138596187
nuclei,nuclei_figure_1,B_separated_interface,1114,161,31,81,3.9197095652584912,6.876401478438548,3.6288124103509745,0.9230952024857985,3.9879829093241366,0.004417673238162419,0.2583759259259259,0.0013881793687039068,0.08066234567901234,0.0009916101309580645,0.0002259259259259259,3.962821349707949e-05,4.031794467547035,0.005578097973833235,0.2657635802469136,0.0016859314690782366,0.09465432098765432,0.0012487169325232027,0.0027753086419753086,0.00021425513534319108
nuclei,nuclei_figure_1,B_separated_interface,830,180,29,81,3.977644860474185,6.3081887746803655,3.6049607164382262,0.6115038360802719,4.049119888498014,0.004438427195317232,0.29234938271604943,0.0011934879483917566,0.13130617283950616,0.0010916747408047543,0.0013376543209876546,0.00010157587623551525,4.094113690982833,0.0056064540519075185,0.2959098765432099,0.0015280751772955175,0.14068518518518516,0.0013149956018340188,0.00637283950617284,0.0003080204718951208
nuclei,nuclei_figure_1,B_separated_interface,1066,375,29,81,2.988071637857956,5.401247851649994,2.7645921701091214,0.6581524464450774,3.069412290714325,0.004321348437161565,0.01612098765432099,0.00036563121272665974,0.0011722222222222223,6.233395769628175e-05,1.234567901234568e-06,8.729276851401981e-07,3.121718631995239,0.005439743299466901,0.028784567901234574,0.000806318035311742,0.004614814814814815,0.00028935396882303266,4.444444444444445e-05,1.5346334205323214e-05
nuclei,nuclei_figure_1,B_separated_interface,138,807,28,81,3.27118417732541,6.185308482957901,3.1673725830201773,0.7112295023531839,3.3572258508807065,0.004341310762346383,0.09749567901234568,0.0011284483326738357,0.011133333333333334,0.00036286421957210454,5.555555555555556e-06,3.487581049897063e-06,3.412027212942283,0.005458221488629861,0.11311172839506174,0.0014055206756375192,0.02394938271604938,0.000676869615575763,0.0003938271604938271,7.675699296235338e-05
nuclei,nuclei_figure_1,B_separated_interface,1093,221,28,81,3.2039326921099227,5.625504894036341,2.880919018486791,0.8802153149421826,3.2834196578944983,0.004317727382745851,0.024903086419753088,0.0006513482112186331,0.0008037037037037037,9.419293374879859e-05,0.0,0.0,3.333901312116605,0.0054407184069069706,0.045516666666666664,0.0010967008380305331,0.006491358024691358,0.00040553291649221606,5.308641975308642e-05,2.729635929760483e-05
nuclei,nuclei_figure_1,B_separated_interface,916,419,25,81,2.871198810446137,4.524414892124947,2.805465803408918,0.39836997653945405,2.9543397732316725,0.0044340415326029545,0.009903086419753085,0.00034267522422792043,0.0002969135802469135,4.17335270114971e-05,0.0,0.0,3.009058848685899,0.005564113696104572,0.023535802469135805,0.0007841860824686819,0.003420987654320988,0.0002815264773642255,2.5925925925925925e-05,1.4407581971417945e-05
nuclei,nuclei_figure_1,B_separated_interface,178,183,24,81,4.0063748809189255,6.2902964726815505,3.7593113975239154,0.8069825476309812,4.088979953580349,0.004340959379011546,0.34398703703703704,0.0005607967795111431,0.26796913580246917,0.000682544704756968,0.05596049382716049,0.0006446960770477656,4.142303941715752,0.005453377102128291,0.34459074074074075,0.000845195807903315,0.2665401234567901,0.0009078904243449547,0.06379691358024692,0.0007749063551966046
nuclei,nuclei_figure_1,B_separated_interface,482,425,23,81,3.0891443269392584,5.2941507744995535,3.2748408924189163,0.8564719159184365,3.173371682946237,0.004384561395290363,0.09401543209876542,0.0005143984831546588,0.047650000000000005,0.00031648312936749843,0.0012827160493827162,5.600370125111958e-05,3.227290373520661,0.005512387304585615,0.1017320987654321,0.0008746962052114664,0.05149691358024692,0.000517081726571805,0.003471604938271605,0.00012342550780689368
nuclei,nuclei_figure_1,B_separated_interface,1026,366,22,81,2.823779303969839,5.846119601916866,2.290442086550917,0.5059968030295643,2.9108385342614693,0.004341888051700125,0.004241975308641975,0.00025989368636785624,5.493827160493827e-05,1.8576479675097392e-05,0.0,0.0,2.967662605980397,0.005450750553475425,0.01681728395061728,0.0007080126633209447,0.001976543209876543,0.00023173370047025442,9.876543209876545e-06,8.791468238676718e-06
nuclei,nuclei_figure_1,B_separated_interface,625,78,19,81,4.044098028907097,6.877763211679068,3.745551429706851,0.8494722373762728,4.110760289923216,0.004449774379809301,0.3006598765432099,0.0011364941404569122,0.1423172839506173,0.0011129858156096629,0.0014475308641975309,0.00011354517411988321,4.151546434558793,0.005629906517109553,0.3019876543209876,0.0014844352981229652,0.1506259259259259,0.0013218594998120514,0.006930864197530864,0.0003243485802237181
nuclei,nuclei_figure_1,B_separated_interface,721,140,18,81,3.3310395203981273,6.05159255407879,3.2260054225114385,0.8982662353568586,3.4112281338526538,0.004281690388524454,0.0846716049382716,0.0008956225058861313,0.017878395061728395,0.0003176497377415861,4.0123456790123456e-05,8.494724874875766e-06,3.4631145830732755,0.00539722069952104,0.1010783950617284,0.0012620369870982146,0.026866666666666667,0.00061240156436652,0.0006938271604938272,7.158759601654199e-05
nuclei,nuclei_figure_1,B_separated_interface,1013,19,18,81,3.0428135650444674,5.276482870080998,2.9430498870231485,0.7756625319026855,3.13219190018125,0.004347029063476238,0.042448148148148145,0.0007420183747703184,0.003658641975308642,0.00016886443714352108,6.17283950617284e-07,6.172685183256124e-07,3.1889576772566586,0.005465902329150028,0.06046172839506173,0.0011031679958507187,0.011117901234567901,0.00045755136928619087,0.00016790123456790124,4.274857777612356e-05
nuclei,nuclei_figure_1,B_separated_interface,48,165,18,81,4.456293615476865,6.135429835580485,4.430734116166035,0.8978739795098089,4.51572803310942,0.004521899728287644,0.3533802469135803,0.002033977945924019,0.11284753086419753,0.001326455905765625,0.0016697530864197528,8.771407580559091e-05,4.552229116716103,0.0057368475862786365,0.3608,0.0022496736691589104,0.1347524691358025,0.0016539994779999091,0.006110493827160494,0.0003376141707676611
nuclei,nuclei_figure_1,B_separated_interface,72,958,15,81,4.288122899476344,7.084172319501791,4.1264615088189975,0.5267809804258708,4.353388001551709,0.004510731978223738,0.37278765432098765,0.0012484516255576268,0.20936604938271602,0.0012751722408716377,0.00578641975308642,0.00024760629744361936,4.395889651468974,0.00569080374119156,0.37219382716049376,0.0015748732832802789,0.21645555555555557,0.0015069278292703123,0.01515493827160494,0.0005029837434479082
