dataset,image,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,n_query_on_band,S1,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_q2.0,S3_p90_q2.0,S3_p95_q2.0,S3_p99_q2.0,S2_q1.5,S3_p90_q1.5,S3_p95_q1.5,S3_p99_q1.5
whole_cell,whole_cell_figure_1,64,66,False,9,46.40650406504066,9,10.754875970493982,12.518005245613013,12.345537869871947,0.2222222222222222,10.899911220986931,0.0,0.0,0.0,10.981556005294692,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,72,89,True,44,-27.502252512417684,24,18.600364909543682,17.831331759433628,17.79810738067435,0.9350583658572656,18.62652393003764,6.25e-06,0.0,0.0,18.641398723713348,0.00021666666666666668,0.0,0.0
whole_cell,whole_cell_figure_1,79,91,False,19,38.16264090177134,19,6.01466130147845,5.580958074491096,5.613712124169157,0.6748493234530257,6.181990581586755,0.0,0.0,0.0,6.291443636455867,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,80,85,False,20,39.94183673469387,19,11.437309027752184,10.467580627173762,10.841648066309759,0.42598637727388744,11.54304102363905,0.0,0.0,0.0,11.609593942137344,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,83,88,True,48,14.206259150805266,32,10.789915547563112,11.31501475669022,10.972341528149194,0.921084134933065,10.906893541493979,0.0,0.0,0.0,10.969485498358727,1.5625e-06,0.0,0.0
whole_cell,whole_cell_figure_1,84,97,True,47,-6.297962115091124,22,5.369424519907396,5.798641384061605,5.552642917437946,0.9101023404858782,5.5245636167985275,0.0,0.0,0.0,5.635093514640243,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,89,104,False,5,42.01812778603269,5,11.82895787453352,10.93760870417773,11.1944639380367,1.0010357876512073,11.859027587447985,0.0,0.0,0.0,11.882904897042266,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,93,116,False,12,37.30519125683061,12,7.567688146280028,7.560885562044767,7.26675224218221,0.7717528614743624,7.691914670530927,0.0,0.0,0.0,7.772019332060482,0.0,0.0,0.0
whole_cell,whole_cell_figure_1,95,101,False,44,24.618466898954708,30,17.123636618672997,18.17210727213262,18.008390488895483,0.884351277852796,17.18879977574526,0.20741666666666667,0.11299833333333333,0.013619999999999998,17.230682101518017,0.206765,0.11439833333333335,0.015551666666666667
whole_cell,whole_cell_figure_1,96,103,False,29,33.94619967503159,26,15.080431053882364,17.036041882705444,16.32960956731903,0.3410494865273585,15.14956929279899,0.048650000000000006,0.00013846153846153845,0.0,15.19378294796567,0.05057307692307692,0.0010653846153846154,0.0
whole_cell,whole_cell_figure_1,96,113,True,55,17.850404468412947,24,26.705461180319613,24.072341597995962,24.081865151655077,0.8292707957136726,26.741820196228137,0.40705416666666666,0.25360625000000003,0.00048750000000000003,26.76617902120907,0.4076104166666667,0.25514374999999995,0.0023833333333333332
whole_cell,whole_cell_figure_1,97,99,True,59,10.984092270040875,26,12.127900099096816,11.235029492330755,11.1992052252474,0.8028118496942637,12.197777399000376,0.008948076923076923,0.0,0.0,12.244037213941478,0.011642307692307691,5.000000000000001e-05,0.0
whole_cell,whole_cell_figure_1,97,110,False,22,42.00141414141414,21,10.9914200506848,10.262841117055203,10.18724193102045,0.34667804600750163,11.082826140798428,0.002180952380952381,0.0,0.0,11.135208827110329,0.004078571428571428,1.1904761904761905e-05,0.0
whole_cell,whole_cell_figure_1,98,108,True,40,19.964086294416248,23,13.163973957158941,13.066488187190954,12.952304772772885,0.9036095738895059,13.219446164621534,0.0006478260869565217,0.0,0.0,13.256232296693673,0.0020304347826086955,8.695652173913044e-06,0.0
whole_cell,whole_cell_figure_1,102,111,False,26,11.332493702770776,26,17.857333410742044,17.509470282863962,17.55247810127905,0.8755102986267009,17.909664747873563,0.04043846153846154,0.00042307692307692304,0.0,17.942449991745093,0.04155961538461538,0.0015807692307692306,0.0
whole_cell,whole_cell_figure_1,104,111,False,37,34.97745642839101,30,16.69086092848507,16.853483940399993,16.386115754600844,0.9345168598250242,16.748276264169156,0.056615,0.033348333333333334,1.6666666666666667e-06,16.785203966989005,0.058631666666666665,0.033536666666666666,0.00012166666666666667
whole_cell,whole_cell_figure_1,104,112,True,32,-7.196387614678898,31,19.029866758174443,19.97469386554931,19.88537114550946,0.8762212598314331,19.073771696371484,0.11809677419354839,0.06429677419354839,2.4193548387096773e-05,19.10306503755726,0.11822903225806451,0.0642241935483871,0.0003596774193548387
whole_cell,whole_cell_figure_1,105,377,False,27,26.946097883597886,22,21.39512792088157,18.611712616758634,19.270310101213017,0.8634965343085755,21.458224930236284,0.1529681818181818,0.11619090909090907,0.0,21.494703325778833,0.15807954545454544,0.11460454545454546,0.00011136363636363636
whole_cell,whole_cell_figure_1,106,114,True,33,-10.256728778467902,20,18.892656001296732,20.73285041890198,20.081675389146596,0.9038315097478904,18.926178137895178,0.15041999999999997,0.021595,0.0,18.947979407772248,0.15316000000000002,0.022537500000000002,0.0
whole_cell,whole_cell_figure_1,113,123,False,25,16.96390243902438,24,10.45977626418273,12.13357112551362,11.629757575314294,0.7796270130363673,10.592932881399603,0.0,0.0,0.0,10.67139819714439,0.0,0.0,0.0
