dataset,image,gt_id_1,gt_id_2,merged,pred_id_1,pred_id_2,interface_len_px,area_1,area_2,centroid_r,centroid_c,iface_mean_intensity,cell_mean_intensity,local_contrast,iface_fg_coverage,pair_fg_coverage
whole_cell,whole_cell_figure_1,79,91,False,84,97,19,297,324,127.0,425.10526315789474,58.0,96.16264090177134,38.16264090177134,0.7368421052631579,0.8196457326892109
whole_cell,whole_cell_figure_1,80,85,False,92,93,20,561,272,126.8,387.65,49.65,89.59183673469387,39.94183673469387,0.4,0.7274909963985594
whole_cell,whole_cell_figure_1,82,89,True,87,87,18,86,421,120.44444444444444,30.61111111111111,87.44444444444444,108.53254437869822,21.088099934253776,1.0,0.8974358974358975
whole_cell,whole_cell_figure_1,83,88,True,98,98,48,213,470,122.79166666666667,581.2916666666666,83.375,97.58125915080527,14.206259150805266,0.875,0.8843338213762811
whole_cell,whole_cell_figure_1,84,97,True,95,95,47,569,379,134.63829787234042,187.10638297872342,97.80851063829788,91.51054852320675,-6.297962115091124,0.8297872340425532,0.8037974683544303
whole_cell,whole_cell_figure_1,86,92,False,89,100,19,208,335,123.89473684210526,525.8421052631579,40.473684210526315,78.40699815837938,37.933313947853065,0.05263157894736842,0.6169429097605893
whole_cell,whole_cell_figure_1,88,101,False,98,105,20,470,333,139.0,577.5,89.55,99.23661270236613,9.686612702366133,0.85,0.8729763387297634
whole_cell,whole_cell_figure_1,88,109,False,98,430,4,470,231,144.5,586.0,50.75,90.90014265335235,40.15014265335235,0.0,0.8202567760342369
whole_cell,whole_cell_figure_1,89,104,False,87,111,5,421,252,142.6,53.2,74.6,116.61812778603269,42.01812778603269,1.0,0.9063893016344725
whole_cell,whole_cell_figure_1,92,95,False,100,101,24,335,241,134.75,547.75,84.875,101.89236111111111,17.017361111111114,0.9166666666666666,0.7430555555555556
whole_cell,whole_cell_figure_1,93,116,False,102,115,12,381,229,152.91666666666666,128.33333333333334,67.08333333333333,104.38852459016394,37.30519125683061,1.0,0.8377049180327869
whole_cell,whole_cell_figure_1,94,98,False,99,109,33,219,229,137.87878787878788,504.6060606060606,77.3030303030303,97.703125,20.400094696969703,0.8484848484848485,0.8370535714285714
whole_cell,whole_cell_figure_1,95,101,False,101,105,44,241,333,145.5681818181818,558.0454545454545,80.5,105.11846689895471,24.618466898954708,0.7954545454545454,0.8205574912891986
