dataset,gt_id_1,gt_id_2,merged,seed,interface_len_px,gradmu_q2_interface,gradmu_q2_interior,gradmu_q2_contrast,gradmu_q15_interface,gradmu_q15_interior,gradmu_q15_contrast,gradmu_contrast_gain_q15_minus_q2,grad_raw_interface,grad_raw_interior,grad_raw_contrast,grad_fastgp_interface,grad_fastgp_interior,grad_fastgp_contrast
whole_cell,59,77,False,211,4,4.150755409724625,11.182278759641859,-7.031523349917234,5.610260480931832,10.787466384615266,-5.177205903683434,1.8543174462338001,5.670608391712757,12.265162892328735,-6.5945545006159785,5.8533182537644395,12.084245247046796,-6.230926993282357
whole_cell,189,198,False,73,15,10.241579875197086,13.003876350455325,-2.762296475258239,10.491439669377133,13.387821876982755,-2.8963822076056225,-0.1340857323473834,18.322670247355468,14.048338983699542,4.274331263655926,18.138925828773367,13.830366651345468,4.308559177427899
whole_cell,189,198,False,137,15,11.503964485430455,13.610633929674805,-2.10666944424435,9.42162058393447,14.165203946308088,-4.743583362373618,-2.6369139181292685,18.322670247355468,14.048338983699542,4.274331263655926,18.138925828773367,13.830366651345468,4.308559177427899
whole_cell,189,198,False,211,15,8.381162780661887,13.387301016715233,-5.006138236053346,9.30168925730237,13.997077905062469,-4.695388647760099,0.3107495882932465,18.322670247355468,14.048338983699542,4.274331263655926,18.138925828773367,13.830366651345468,4.308559177427899
whole_cell,218,388,False,73,24,8.99361077041068,17.041265926396413,-8.047655155985733,7.369917785328616,17.47122053948243,-10.101302754153814,-2.05364759816808,15.284852871592912,16.713142405504517,-1.4282895339116042,15.183827157888837,16.630019541088352,-1.4461923831995147
whole_cell,218,388,False,137,24,9.71219745318001,16.688465995089757,-6.9762685419097465,6.938850724609982,17.570852459487547,-10.632001734877566,-3.655733192967819,15.284852871592912,16.713142405504517,-1.4282895339116042,15.183827157888837,16.630019541088352,-1.4461923831995147
whole_cell,218,388,False,211,24,8.247778075210165,17.448170030556714,-9.200391955346548,6.331844593642489,16.823472164905635,-10.491627571263145,-1.2912356159165963,15.284852871592912,16.713142405504517,-1.4282895339116042,15.183827157888837,16.630019541088352,-1.4461923831995147
whole_cell,253,256,False,73,57,14.040357671985095,9.069899195883696,4.970458476101399,13.195843633750439,9.094308145935976,4.101535487814463,-0.8689229882869363,17.25263868348134,8.535510255819311,8.717128427662029,17.073451136996457,8.395650348244073,8.677800788752384
whole_cell,253,256,False,137,57,13.168187442814816,9.940607602456836,3.227579840357979,11.98747415292722,9.636220972694348,2.351253180232872,-0.8763266601251072,17.25263868348134,8.535510255819311,8.717128427662029,17.073451136996457,8.395650348244073,8.677800788752384
whole_cell,253,256,False,211,57,13.356429141651692,8.869585990804534,4.486843150847157,12.505106190950361,10.546740381243369,1.9583658097069918,-2.5284773411401655,17.25263868348134,8.535510255819311,8.717128427662029,17.073451136996457,8.395650348244073,8.677800788752384
