dataset,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,seed,loss_q2,loss_q15,finite,max_abs_delta,mean_abs_delta,rmse_between,corr_between,mc_se_mean,mc_se_max,snr_mean,snr_max,nonuniform_sd_over_mean,mean_absdelta_interface,n_px_interface,mean_absdelta_interior,n_px_interior,mean_absdelta_background,n_px_background,mean_absdelta_patch_edge,n_px_patch_edge,localization_ratio,edge_over_interface
nuclei,125,126,False,35,5.020217917675552,211,0.2033713032149612,0.19229354191966322,True,3.1206215221199045,0.8428710529735268,1.036923177285587,0.9993068385398723,0.1075229762437746,0.3830113802071314,7.838985511920552,8.147594780166276,0.7165610834429424,1.9710274806762942,35,0.6038697111880916,299,,0,0.7434791655921893,184,3.2639946070458965,0.3772038557966165
nuclei,294,299,False,86,3.962634591522232,73,1.0734530341598973,1.1121929064631588,True,3.101797413660506,0.6607723670542525,0.8255230371735671,0.9940834986126296,0.08609186921733006,0.2470302046787985,7.675200609086564,12.556348798292195,0.7488835474242993,0.9090849265250449,78,0.5514863325756197,270,,0,0.6596154381931558,184,1.648426937943002,0.7255817569371872
nuclei,294,299,False,86,3.962634591522232,137,1.0891361522569798,1.1162137111459347,True,4.674561409400951,0.6861179854680152,0.9264817937687527,0.9908640277175913,0.09770538078218724,0.2866865595158499,7.022315249940687,16.3054780708773,0.9074005378703514,0.7115264694062733,78,0.6905057953488127,270,,0,0.8786070697338381,184,1.0304424295915457,1.2348199364487222
nuclei,294,299,False,86,3.962634591522232,211,1.0929947244724483,1.1184374506791457,True,3.66380131724668,0.6894894799865924,0.9007856215708073,0.9913975418403527,0.08541001301809775,0.23244060402958136,8.072700794934835,15.7623119787643,0.8407255940446693,0.5085307682249873,78,0.7474568025782042,270,,0,0.9883155798912849,184,0.6803480367974593,1.9434725323326518
whole_cell,130,379,True,4,-78.4225721784777,73,0.098404639345438,0.13200453163175602,True,25.58518731005512,2.8225555372967457,4.3536346039565625,0.9963686255254701,0.23598789281023475,0.6705892191876558,11.96059468850146,38.153293518569726,1.1743654940867794,7.513262716381782,4,2.745839006114606,106,0.9206553814378339,10,2.1188234227907943,184,2.7362357005093085,0.28201109195489066
whole_cell,130,379,True,4,-78.4225721784777,137,0.11233326698698806,0.16182636776523407,True,19.753466804240645,3.2863424073072935,4.6398446837055465,0.9958439761425835,0.2518542382421152,0.6540534954301496,13.048588859354558,30.201607272581636,0.9966641658249674,6.119887199712693,4,2.3545877873863557,106,0.8035811078530166,10,2.8260006899575103,184,2.599133161437953,0.4617733297584604
whole_cell,130,379,True,4,-78.4225721784777,211,0.12242869269860113,0.12999013215731164,True,26.1977615914179,3.7206427200750296,5.318842277480824,0.9952665410233251,0.3322748214202241,1.2127080117563298,11.197486177773236,21.602695238630808,1.0215729360736592,2.3015961878917395,4,4.569043379853337,106,0.6526649876814041,10,3.5395924279954585,184,0.5037369962474769,1.5378859448136828
whole_cell,179,182,True,32,3.669529932546368,73,-0.001654484754215757,-0.0627414266969966,True,8.848302918502874,2.952950500308836,3.6387389854062895,0.9983156349975116,0.26612210257600705,0.9315499363853249,11.096224145701859,9.498474073045157,0.720007959982897,5.620499389431132,32,3.52538632096528,138,1.9521269725726433,11,2.3832344297030947,184,1.5942931859712308,0.42402538717192334
whole_cell,179,182,True,32,3.669529932546368,137,-0.012903111396043571,0.020931328021070558,True,11.231881588619274,2.019671343971967,2.7799930169073055,0.9988396590496983,0.2801720326706065,0.7932941039892268,7.208682910711722,14.158534057088877,0.9458524992526436,2.539010756465104,32,1.8249312676805929,138,0.5976720597210359,11,1.5896187103724353,184,1.3912911688406078,0.6260779740002188
whole_cell,179,182,True,32,3.669529932546368,211,-0.041902637904614654,-0.08402694294896398,True,8.97976911857333,1.9126865051020496,2.543516523069456,0.9991692302849293,0.2959308251974314,1.2082975056530576,6.463289195459761,7.431753418807205,0.876586678686152,3.7792234591260314,32,1.5798157637625472,138,0.9518241119228876,11,1.79314907535676,184,2.392192523845498,0.47447553571532836
whole_cell,1,12,True,44,-0.7409090909090992,73,0.14291846348929504,0.21786797420200896,True,19.426228086244834,3.65545316784769,5.182707380939343,0.9957165730383061,0.3241796589481516,0.9772028412326241,11.276010283027453,19.879422435715576,1.0050678588461492,7.622935137009953,44,4.23726814152435,74,0.28125554656378643,13,2.279912666832388,184,1.7990211811961503,0.2990859328925982
whole_cell,1,12,True,44,-0.7409090909090992,137,0.20729370896775842,0.2914809090089027,True,16.24528538344643,4.466419568748546,5.742619382842987,0.9943215031446396,0.3382759573262703,1.0720287511946627,13.203479206890968,15.153777699845062,0.8081505099314595,6.597930741868705,44,3.7891340527570017,74,1.115073884956253,13,3.800345153443055,184,1.741276674301877,0.5759904585428701
whole_cell,1,12,True,44,-0.7409090909090992,211,0.1266210788623028,0.09580021438473943,True,16.41271491400485,3.0381146742359766,4.1669780201936835,0.9975232786253326,0.3583042078656447,1.1347361105389362,8.479148744396536,14.463904657277302,0.9387205163198817,5.324820222304129,44,2.581348902284945,74,3.407714413509827,13,2.9190850915753623,184,2.062805309886909,0.5482035016596731
