dataset,source,seeding,min_distance,ap50,ap75,n_pred,n_true,mean_matched_iou,imagej_ap50
whole_cell,gp,peak_md15,15.0,0.3250517598343685,0.06844741235392321,237,403,0.40158002188787345,0.3416
whole_cell,qep_q2,markers_none,,0.12012987012987013,0.015701668302257114,632,403,0.37404897974852225,0.3416
whole_cell,qep_q2,peak_md3,3.0,0.21739130434782608,0.04132231404958678,605,403,0.4732734201242676,0.3416
whole_cell,qep_q2,peak_md5,5.0,0.3287671232876712,0.060753341433778855,470,403,0.5144772948666766,0.3416
whole_cell,qep_q2,peak_md7,7.0,0.3879310344827586,0.07047872340425532,402,403,0.5206266662743225,0.3416
whole_cell,qep_q2,peak_md9,9.0,0.4066543438077634,0.07032348804500703,358,403,0.5094952995987395,0.3416
whole_cell,qep_q2,peak_md12,12.0,0.3975659229208925,0.06987577639751552,286,403,0.46268222633779693,0.3416
whole_cell,qep_q2,peak_md15,15.0,0.33126293995859213,0.06456953642384106,240,403,0.4056455071656928,0.3416
whole_cell,qep_q1.5,markers_none,,0.13296703296703297,0.02485089463220676,628,403,0.40347990583413973,0.3416
whole_cell,qep_q1.5,peak_md3,3.0,0.24187256176853056,0.05641592920353982,552,403,0.49074919033675707,0.3416
whole_cell,qep_q1.5,peak_md5,5.0,0.325,0.07477820025348543,445,403,0.5170150043421408,0.3416
whole_cell,qep_q1.5,peak_md7,7.0,0.3776223776223776,0.09141274238227147,385,403,0.5178618815469092,0.3416
whole_cell,qep_q1.5,peak_md9,9.0,0.40417457305502846,0.09467455621301775,337,403,0.5070694445712601,0.3416
whole_cell,qep_q1.5,peak_md12,12.0,0.3885480572597137,0.09870550161812297,276,403,0.4654510513752161,0.3416
whole_cell,qep_q1.5,peak_md15,15.0,0.3312368972746331,0.09106529209621993,232,403,0.4103012247926174,0.3416
