rule,rule_family,params,dataset,image,arm,threshold,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
triangle,triangle,{},whole_cell,whole_cell_figure_1,raw,25.494140625,False,585,0.7366247442231871,0.5830609241830195,0.5900654639948029,0.9800468119719128,0.5540143964562569,0.33356035437430787
triangle,triangle,{},whole_cell,whole_cell_figure_1,gp,59.048602268099785,False,278,0.8101147851226308,0.6808343989769821,0.9483656929105807,0.7070433757739746,0.24868217054263567,0.33356035437430787
triangle,triangle,{},whole_cell,whole_cell_figure_1,qep_q2,59.048602268099785,False,278,0.8101147851226308,0.6808343989769821,0.9483656929105807,0.7070433757739746,0.24868217054263567,0.33356035437430787
triangle,triangle,{},whole_cell,whole_cell_figure_1,qep_q1.5,54.172300301492214,False,251,0.8402100182922101,0.7244501431673012,0.9327303847595126,0.7643880413671752,0.27335825027685495,0.33356035437430787
quantile_p0.8,quantile,"{""p"": 0.8}",nuclei,nuclei_figure_1,raw,180.0,False,8500,0.8386599854413994,0.7221485309452248,0.9047815749657773,0.7815445764737121,0.19186074372244585,0.22211409445452
quantile_p0.8,quantile,"{""p"": 0.8}",nuclei,nuclei_figure_1,gp,179.88433837890625,False,236,0.8522806412386393,0.7425862731447137,0.8993996138729282,0.809852960701009,0.19999981569130507,0.22211409445452
quantile_p0.8,quantile,"{""p"": 0.8}",nuclei,nuclei_figure_1,qep_q2,179.88433837890625,False,236,0.8522806412386393,0.7425862731447137,0.8993996138729282,0.809852960701009,0.19999981569130507,0.22211409445452
quantile_p0.8,quantile,"{""p"": 0.8}",nuclei,nuclei_figure_1,qep_q1.5,179.99203491210938,False,234,0.8506083383728013,0.7400509041179152,0.8976348564925102,0.8082639073287308,0.19999981569130507,0.22211409445452
quantile_p0.8,quantile,"{""p"": 0.8}",whole_cell,whole_cell_figure_1,raw,71.0,False,417,0.7251638194831802,0.568829023341021,0.9748826126568084,0.5772895536262678,0.19752214839424143,0.33356035437430787
quantile_p0.8,quantile,"{""p"": 0.8}",whole_cell,whole_cell_figure_1,gp,71.06704864501953,False,311,0.7281057689314142,0.5724577965258116,0.9712209302325582,0.5823359505984297,0.2,0.33356035437430787
quantile_p0.8,quantile,"{""p"": 0.8}",whole_cell,whole_cell_figure_1,qep_q2,71.06704864501953,False,311,0.7281057689314142,0.5724577965258116,0.9712209302325582,0.5823359505984297,0.2,0.33356035437430787
quantile_p0.8,quantile,"{""p"": 0.8}",whole_cell,whole_cell_figure_1,qep_q1.5,70.99733886718751,False,292,0.7289048473967684,0.5734463276836158,0.9722868217054264,0.5829750502149699,0.2,0.33356035437430787
quantile_p0.85,quantile,"{""p"": 0.85}",nuclei,nuclei_figure_1,raw,187.0,False,3475,0.7771380963546474,0.6355076513856535,0.9743854381685119,0.6463049322889007,0.1473271553058787,0.22211409445452
quantile_p0.85,quantile,"{""p"": 0.85}",nuclei,nuclei_figure_1,gp,187.21844863891602,False,256,0.7746802213994725,0.6322269785641237,0.960895982699621,0.6489229288369623,0.15000055292608483,0.22211409445452
