rule,dataset,image,arm,transform,a,b,mask_identical,base_threshold,transformed_threshold,expected_threshold,threshold_matches_expected
quantile_p0.95,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,136.0,272.0,272.0,True
quantile_p0.95,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,136.0,1360.0,1360.0,True
quantile_p0.95,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,136.0,322.0,322.0,True
quantile_p0.95,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,136.0,236.0,236.0,True
robust_mad_c1.5,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,133.55519877243043,66.77759938621521,66.77759938621521,True
robust_mad_c1.5,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,133.55519877243043,267.11039754486086,267.11039754486086,True
robust_mad_c1.5,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,133.55519877243043,1335.5519877243041,1335.5519877243044,True
robust_mad_c1.5,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,133.55519877243043,317.11039754486086,317.11039754486086,True
robust_mad_c1.5,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,133.55519877243043,233.55519877243043,233.55519877243043,True
robust_mad_c1.5,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,77.04207429161072,38.52103714580536,38.52103714580536,True
robust_mad_c1.5,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,77.04207429161072,154.08414858322143,154.08414858322143,True
robust_mad_c1.5,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,77.04207429161072,770.4207429161072,770.4207429161072,True
robust_mad_c1.5,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,77.04207429161072,204.08414858322143,204.08414858322143,True
robust_mad_c1.5,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,77.04207429161072,177.04207429161073,177.04207429161073,True
