dataset,image,arm,round,threshold_rule,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,role,threshold,threshold_percentile,collapsed
nuclei,nuclei_figure_5,qep_q1.5,round3,li,133,0.8562438504427681,0.7486244780185315,0.7943671078655105,0.9285746043037524,0.1002960205078125,0.0858001708984375,heldout_candidate,85.70383653578706,89.97039794921875,False
whole_cell,whole_cell_figure_2,raw,round3,li,516,0.7405157511465095,0.5879515776561728,0.9603376840631018,0.6025838973276131,0.160653125,0.2560328125,heldout_candidate,54.74288962635998,83.93468750000001,False
whole_cell,whole_cell_figure_2,gp,round3,li,91,0.703168372952554,0.5422202530281348,0.9663237867599984,0.5526635379986696,0.14643125,0.2560328125,heldout_candidate,60.207101298374454,85.356875,False
whole_cell,whole_cell_figure_2,qep_q2,round3,li,91,0.703168372952554,0.5422202530281348,0.9663237867599984,0.5526635379986696,0.14643125,0.2560328125,heldout_candidate,60.207101298374454,85.356875,False
whole_cell,whole_cell_figure_2,qep_q1.5,round3,li,80,0.7038714560167666,0.5430568281859178,0.9667782587372328,0.5533836605415565,0.146553125,0.2560328125,heldout_candidate,60.271515762213,85.3446875,False
whole_cell,whole_cell_figure_3,raw,round3,li,389,0.7553810792232343,0.6069175605588588,0.9810154833310084,0.614130529698388,0.1984772978959025,0.3170487264673311,heldout_candidate,54.94379621346405,80.15227021040975,False
whole_cell,whole_cell_figure_3,gp,round3,li,334,0.7023988848670158,0.5413057037909765,0.9855831414240196,0.5456260151242599,0.1755204872646733,0.3170487264673311,heldout_candidate,63.715649301271355,82.44795127353267,False
whole_cell,whole_cell_figure_3,qep_q2,round3,li,334,0.7023988848670158,0.5413057037909765,0.9855831414240196,0.5456260151242599,0.1755204872646733,0.3170487264673311,heldout_candidate,63.715649301271355,82.44795127353267,False
whole_cell,whole_cell_figure_3,qep_q1.5,round3,li,316,0.7319014134682312,0.5771644422930641,0.982779176049808,0.5830611781553992,0.1880980066445182,0.3170487264673311,heldout_candidate,60.33353653330545,81.19019933554817,False
whole_cell,whole_cell_figure_4,raw,round3,li,2367,0.7794372559662424,0.6385884378138,0.939625270001196,0.6659120713641056,0.142129,0.200549,heldout_candidate,58.83743327815185,85.78710000000001,False
whole_cell,whole_cell_figure_4,gp,round3,li,60,0.7921561278121833,0.655843148317935,0.91995990080726,0.6955307680417254,0.151624,0.200549,heldout_candidate,56.419268620668376,84.83760000000001,False
whole_cell,whole_cell_figure_4,qep_q2,round3,li,60,0.7921561278121833,0.655843148317935,0.91995990080726,0.6955307680417254,0.151624,0.200549,heldout_candidate,56.419268620668376,84.83760000000001,False
whole_cell,whole_cell_figure_4,qep_q1.5,round3,li,56,0.7900961500190481,0.6530239159347141,0.9190570992043282,0.6928730634408549,0.151193,0.200549,heldout_candidate,56.55563048630434,84.8807,False
whole_cell,whole_cell_figure_5,raw,round3,li,871,0.7182470203914119,0.5603630588873252,0.9639189453298508,0.5723686639834152,0.225132,0.379142,heldout_candidate,56.10153892038043,77.4868,False
whole_cell,whole_cell_figure_5,gp,round3,li,144,0.660851627805046,0.4934864885224524,0.9702406488120774,0.5010708388941346,0.195804,0.379142,heldout_candidate,66.05901309970713,80.4196,False
whole_cell,whole_cell_figure_5,qep_q2,round3,li,144,0.660851627805046,0.4934864885224524,0.9702406488120774,0.5010708388941346,0.195804,0.379142,heldout_candidate,66.05901309970713,80.4196,False
whole_cell,whole_cell_figure_5,qep_q1.5,round3,li,123,0.6772954830388856,0.5120535042814836,0.9682631529910212,0.5207943198062995,0.203927,0.379142,heldout_candidate,63.57410518848731,79.60730000000001,False
