dataset,arm,i,j,y_offset,x_offset,h,w,theta_hat,s_2,sigma2_hat,runtime_sec,beta1,beta2,nugget,eff_range_rows_px,eff_range_cols_px,tile_min,tile_max,pred_min,pred_max,rmse_to_raw,gradients_computed
whole_cell,paper_fast_gp,3,3,400,400,200,200,0.16697024114425316,569.4631679373707,0.014236579198434268,0.06401824951171875,25232.1719869518,37.99262186398631,0.0022513212375688822,0.00788675664159661,5.237859095706018,0.0,0.8901960784313725,-0.0016080204626619243,0.8740433665862992,0.0036382756103689622,False
whole_cell,paper_fast_gp_ms8,1,1,0,0,200,200,0.21420007239725508,362.9555153194594,0.009073887882986485,0.016907930374145508,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.027450980392156862,0.8980392156862745,0.030743466934399943,0.8948390702355793,0.002617983121546909,False
whole_cell,paper_fast_gp_ms8,1,2,200,0,200,200,0.14088300647021712,287.4947934453745,0.007187369836134363,0.01925826072692871,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8901960784313725,-0.001259371813285809,0.8839765699965481,0.0023080088984104813,False
whole_cell,paper_fast_gp_ms8,1,3,400,0,200,200,0.16062921454732548,349.22265430499743,0.008730566357624935,0.014139890670776367,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8705882352941177,0.0004191023957915152,0.8712861097060715,0.00258076682256881,False
whole_cell,paper_fast_gp_ms8,2,1,0,200,200,200,0.1913443722503276,401.5168581922491,0.010037921454806227,0.02280402183532715,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8941176470588236,0.0010377519848540906,0.8918429714514967,0.0027107571519856865,False
whole_cell,paper_fast_gp_ms8,2,2,200,200,200,200,0.17772994950379084,294.184951482901,0.007354623787072525,0.020413875579833984,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8901960784313725,-4.14057652399491e-05,0.885389630723042,0.00234062034732266,False
whole_cell,paper_fast_gp_ms8,2,3,400,200,200,200,0.14940011579104018,203.7076348732095,0.005092690871830238,0.017665624618530273,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8549019607843137,-0.002869389386085358,0.8539620906539496,0.0019118253104171362,False
whole_cell,paper_fast_gp_ms8,3,1,0,400,200,200,0.20643829595833213,304.93263571181336,0.007623315892795334,0.020515918731689453,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.00392156862745098,0.8784313725490196,0.01028810012179962,0.8781485340970121,0.0023338967136468294,False
whole_cell,paper_fast_gp_ms8,3,2,200,400,200,200,0.1882407189976534,234.402634210627,0.005860065855265675,0.014230012893676758,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8196078431372549,-0.0013664084514562747,0.8163166875333421,0.0019829238804804053,False
whole_cell,paper_fast_gp_ms8,3,3,400,400,200,200,0.16717976956043681,200.48154462773076,0.005012038615693269,0.013396978378295898,81.01077812334745,62.3365629464182,0.0019542913637209036,2.456463258469157,3.1923479671320947,0.0,0.8901960784313725,-0.0012060306996408976,0.8817707683946455,0.0019015308626026965,False
