dataset,image,role,arm,variant,oracle,ap50,ap75,n_pred,n_gt,n_markers,merged,rule,scope,fg_dice,fg_iou
nuclei,nuclei_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.59846547314578,0.2966804979253112,295,,,85,li,global,0.8558432192317742,0.7480121899527895
nuclei,nuclei_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.6282722513089005,0.3610503282275711,292,,,90,li,per_tile,0.8798312670404856,0.7854453004735715
whole_cell,whole_cell_figure_1,,raw,threshold_scope_2x2,False,0.5276073619631901,0.07947976878612717,344,,,147,criterion_1,global,0.8274956339504017,0.7057505779175901
whole_cell,whole_cell_figure_1,,raw,threshold_scope_2x2,False,0.4461538461538462,0.09620991253644315,349,,,165,criterion_1,per_tile,0.8017099886112413,0.669045040008386
whole_cell,whole_cell_figure_1,,raw,threshold_scope_2x2,False,0.5276073619631901,0.07947976878612717,344,,,147,li,global,0.8274956339504017,0.7057505779175901
whole_cell,whole_cell_figure_1,,raw,threshold_scope_2x2,False,0.5525773195876289,0.10572687224669604,350,,,141,li,per_tile,0.8305393415830026,0.7101900654847468
whole_cell,whole_cell_figure_1,,gp,threshold_scope_2x2,False,0.47808764940239046,0.05547652916073969,339,,,149,criterion_1,global,0.8026401689708141,0.670341653503532
whole_cell,whole_cell_figure_1,,gp,threshold_scope_2x2,False,0.3047138047138047,0.03748326639892905,372,,,187,criterion_1,per_tile,0.7569113807402856,0.6088957528957529
whole_cell,whole_cell_figure_1,,gp,threshold_scope_2x2,False,0.44529750479846447,0.03576341127922971,350,,,144,li,global,0.7880879732467596,0.6502848027328172
whole_cell,whole_cell_figure_1,,gp,threshold_scope_2x2,False,0.4723320158102767,0.07814761215629522,342,,,153,li,per_tile,0.8110812034015388,0.6822006731848053
whole_cell,whole_cell_figure_1,,qep_q2,threshold_scope_2x2,False,0.47808764940239046,0.05547652916073969,339,,,149,criterion_1,global,0.8026401689708141,0.670341653503532
whole_cell,whole_cell_figure_1,,qep_q2,threshold_scope_2x2,False,0.3047138047138047,0.03748326639892905,372,,,187,criterion_1,per_tile,0.7569113807402856,0.6088957528957529
whole_cell,whole_cell_figure_1,,qep_q2,threshold_scope_2x2,False,0.44529750479846447,0.03576341127922971,350,,,144,li,global,0.7880879732467596,0.6502848027328172
whole_cell,whole_cell_figure_1,,qep_q2,threshold_scope_2x2,False,0.4723320158102767,0.07814761215629522,342,,,153,li,per_tile,0.8110812034015388,0.6822006731848053
whole_cell,whole_cell_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.43822393822393824,0.07040229885057471,342,,,158,criterion_1,global,0.8103003228971206,0.6810965309079846
whole_cell,whole_cell_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.41187384044526903,0.09496402877697842,358,,,157,criterion_1,per_tile,0.8019905154675592,0.6694358649260278
whole_cell,whole_cell_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.4502923976608187,0.07050359712230216,341,,,155,li,global,0.8086531991352528,0.6787722924578186
whole_cell,whole_cell_figure_1,,qep_q1.5,threshold_scope_2x2,False,0.45155038759689925,0.09985315712187959,346,,,156,li,per_tile,0.8281782449981795,0.7067442138389833
