pilot,role,dataset,image,arm,wm,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,gp,0.0,0.644808743169399,0.314410480349345,150,151,21,5,156,0.6815796975489117
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,1.0,0.7167630057803468,0.3561643835616438,146,151,17,4,149,0.6978456577244918
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,0.7,0.7309941520467836,0.3577981651376147,145,151,17,3,148,0.6985330384093423
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,0.5,0.6971428571428572,0.33183856502242154,146,151,19,4,149,0.6903853858884093
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,0.3,0.6779661016949152,0.32589285714285715,146,151,21,4,150,0.6859714603184035
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,0.0,0.644808743169399,0.314410480349345,150,151,21,5,156,0.6815796975489117
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,1.0,0.7325581395348837,0.33035714285714285,147,151,17,5,150,0.6953839230478265
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,0.7,0.6954022988505747,0.32286995515695066,144,151,21,3,147,0.6844056210781178
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,0.5,0.6818181818181818,0.31555555555555553,145,151,21,4,148,0.682785379991519
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,0.3,0.659217877094972,0.29694323144104806,146,151,23,4,150,0.6771569258302349
P2_markers,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,0.0,0.625,0.2777777777777778,148,151,25,6,152,0.6678678059114378
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,raw,1.0,0.13333333333333333,0.02,112,41,2,3,584,0.48282849682161566
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,raw,0.7,0.15151515151515152,0.020134228187919462,111,41,2,0,589,0.49518544562818045
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,raw,0.5,0.18032786885245902,0.02127659574468085,103,41,8,0,614,0.4956276196589136
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,raw,0.3,0.16666666666666666,0.021897810218978103,99,41,12,0,629,0.48936230293742083
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,raw,0.0,0.14782608695652175,0.015384615384615385,91,41,12,0,671,0.4938041512851763
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,gp,1.0,0.14285714285714285,0.014084507042253521,103,41,0,2,141,0.47578399021012235
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,gp,0.7,0.11194029850746269,0.013605442176870748,108,41,2,0,145,0.45299390844108794
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,gp,0.5,0.136,0.014285714285714285,101,41,4,0,153,0.47192673317249867
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,gp,0.3,0.12096774193548387,0.014598540145985401,98,41,6,1,164,0.46562226362398773
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,gp,0.0,0.12931034482758622,0.015503875968992248,90,41,8,1,180,0.48152094027990067
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,1.0,0.14285714285714285,0.014084507042253521,103,41,0,2,141,0.47578399021012235
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,0.7,0.11194029850746269,0.013605442176870748,108,41,2,0,145,0.45299390844108794
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,0.5,0.136,0.014285714285714285,101,41,4,0,153,0.47192673317249867
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,0.3,0.12096774193548387,0.014598540145985401,98,41,6,1,164,0.46562226362398773
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,0.0,0.12931034482758622,0.015503875968992248,90,41,8,1,180,0.48152094027990067
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,1.0,0.15254237288135594,0.014925373134328358,95,41,0,1,124,0.48200199619182144
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,0.7,0.1328125,0.013986013986013986,104,41,0,0,129,0.46451968744003275
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,0.5,0.11450381679389313,0.013888888888888888,105,41,4,0,141,0.4680285213252967
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,0.3,0.109375,0.014285714285714285,101,41,6,1,147,0.4516323482037909
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,0.0,0.13793103448275862,0.015384615384615385,91,41,8,1,160,0.47212481381111254
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,raw,1.0,0.4704761904761905,0.026595744680851064,355,417,108,4,461,0.5111946989407116
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,raw,0.7,0.4543726235741445,0.022727272727272728,348,417,117,4,453,0.506689114204731
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,raw,0.5,0.4600760456273764,0.02127659574468085,351,417,116,6,456,0.5080835988182495
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,raw,0.3,0.45627376425855515,0.019973368841544607,349,417,122,7,457,0.502489809167306
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,raw,0.0,0.4459203036053131,0.021447721179624665,345,417,121,3,465,0.4991665437989773
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,gp,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.7,0.3160621761658031,0.007936507936507936,345,417,107,2,379,0.4550911309208159
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.5,0.3177892918825561,0.007926023778071334,346,417,108,3,381,0.4565608969517976
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.3,0.32124352331606215,0.007905138339920948,348,417,110,6,384,0.4562878902723562
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.0,0.3098106712564544,0.007947019867549669,344,417,112,5,387,0.4517391265833444
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.7,0.3160621761658031,0.007936507936507936,345,417,107,2,379,0.4550911309208159
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.5,0.3177892918825561,0.007926023778071334,346,417,108,3,381,0.4565608969517976
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.3,0.32124352331606215,0.007905138339920948,348,417,110,6,384,0.4562878902723562
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.0,0.3098106712564544,0.007947019867549669,344,417,112,5,387,0.4517391265833444
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,1.0,0.3613595706618962,0.014666666666666666,344,417,118,3,373,0.4740650534996825
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.7,0.35727109515260325,0.016129032258064516,339,417,121,3,368,0.47263689402073333
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.5,0.37364620938628157,0.017379679144385027,344,417,111,2,374,0.47994224375620115
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.3,0.3811252268602541,0.017379679144385027,344,417,109,1,374,0.48169935714890705
