test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T3,1.0,0.001,0.21544346900318823,1e-10,-1.4352667070534952,,,
T3,1.0,0.001,0.21544346900318823,1e-09,-1.435266707840817,,,
T3,1.0,0.001,0.21544346900318823,1e-08,-1.4352667157140349,,,
T3,1.0,0.001,0.21544346900318823,1e-07,-1.4352667944461988,,,
T3,1.0,0.001,0.21544346900318823,1e-06,-1.435267581766324,,,
T3,1.0,0.001,0.21544346900318823,1e-05,-1.4352754548162125,,,
T3,1.0,0.001,0.21544346900318823,0.0001,-1.435354170182944,,,
T3,1.0,0.001,0.21544346900318823,0.001,-1.4361398146162594,,,
T3,1.0,0.001,0.21544346900318823,0.01,-1.443849201798581,,,
T3,1.0,0.001,0.21544346900318823,0.1,-1.5092275069978667,,,
T3,1.0,0.001,0.21544346900318823,1.0,-1.796558890083918,,,
T3,1.0,0.001,0.21544346900318823,10.0,-2.294817949051687,,,
T3,1.0,0.001,1.0,1e-10,-1.7530906877317172,,,
T3,1.0,0.001,1.0,1e-09,-1.7530906879310137,,,
T3,1.0,0.001,1.0,1e-08,-1.7530906899239778,,,
T3,1.0,0.001,1.0,1e-07,-1.7530907098536201,,,
T3,1.0,0.001,1.0,1e-06,-1.7530909091499496,,,
T3,1.0,0.001,1.0,1e-05,-1.7530929021040145,,,
T3,1.0,0.001,1.0,0.0001,-1.7531128307218267,,,
T3,1.0,0.001,1.0,0.001,-1.75331202467457,,,
T3,1.0,0.001,1.0,0.01,-1.7552947994911627,,,
T3,1.0,0.001,1.0,0.1,-1.7742600604268273,,,
T3,1.0,0.001,1.0,1.0,-1.9096477033215398,,,
T3,1.0,0.001,1.0,10.0,-2.3126675043487457,,,
T3,1.0,0.001,4.641588833612772,1e-10,-2.10624813961964,,,
T3,1.0,0.001,4.641588833612772,1e-09,-2.106248139665545,,,
T3,1.0,0.001,4.641588833612772,1e-08,-2.106248140124589,,,
T3,1.0,0.001,4.641588833612772,1e-07,-2.1062481447150314,,,
T3,1.0,0.001,4.641588833612772,1e-06,-2.10624819061945,,,
T3,1.0,0.001,4.641588833612772,1e-05,-2.1062486496631583,,,
T3,1.0,0.001,4.641588833612772,0.0001,-2.1062532400526597,,,
T3,1.0,0.001,4.641588833612772,0.001,-2.106299139190019,,,
T3,1.0,0.001,4.641588833612772,0.01,-2.106757655464873,,,
T3,1.0,0.001,4.641588833612772,0.1,-2.111295964777246,,,
T3,1.0,0.001,4.641588833612772,1.0,-2.1525611487018526,,,
T3,1.0,0.001,4.641588833612772,10.0,-2.3818656452257927,,,
T3,1.0,0.001,21.54434690031882,1e-10,-2.4758059360352167,,,
T3,1.0,0.001,21.54434690031882,1e-09,-2.475805936045403,,,
T3,1.0,0.001,21.54434690031882,1e-08,-2.475805936147269,,,
T3,1.0,0.001,21.54434690031882,1e-07,-2.475805937165923,,,
T3,1.0,0.001,21.54434690031882,1e-06,-2.4758059473524616,,,
T3,1.0,0.001,21.54434690031882,1e-05,-2.4758060492178275,,,
T3,1.0,0.001,21.54434690031882,0.0001,-2.4758070678691793,,,
T3,1.0,0.001,21.54434690031882,0.001,-2.475817254151614,,,
